职位,薪资,城市,区域,区域具体,经验要求,学历要求,福利,技能,salary_min,salary_max,salary_multiplier,salary_avg,experience_years_min,experience_years_max,education_level,education_name,job_category,benefits_list,skills_list,benefits_count,skills_count,is_ai_related,is_python_related,is_remote_work
linux运维工程师（双休，五险一金，13薪）,8-10K,长沙,芙蓉区,韭菜园,经验不限,大专,"['节日福利', '底薪加提成', '保底工资', '团建聚餐', '全勤奖', '绩效奖金', '零食下午茶']","['Python/Shell', '计算机相关专业']",8.0,10.0,1.0,9.0,0,0,4,大专,运维工程师,"['节日福利', '底薪加提成', '保底工资', '团建聚餐', '全勤奖', '绩效奖金', '零食下午茶']","['Python/Shell', '计算机相关专业']",7,2,0,1,0
Python模型工程师,7-10K,长沙,芙蓉区,火车站,1-3年,本科,['社保'],"['Golang', 'C++', '爬虫经验', 'PyTorch', 'MySQL', '机器学习经验', 'Redis', '云计算经验', 'MongoDB', '量化交易开发经验', 'Python']",7.0,10.0,1.0,8.5,1,3,5,本科,开发工程师,['社保'],"['Golang', 'C++', '爬虫经验', 'PyTorch', 'MySQL', '机器学习经验', 'Redis', '云计算经验', 'MongoDB', '量化交易开发经验', 'Python']",1,11,0,1,0
服务器维护工程师,4-6K,长沙,,,3-5年,大专,"['交通补助', '带薪年假', '全勤奖', '定期体检', '五险一金', '通讯补贴', '年终奖', '节日福利', '加班补助', '补充医疗保险']","['IDC机房运维', '实施交付运维', 'Python/Shell', '计算机相关专业', '运维经验', 'LINUX', 'pytorch', 'python', '昇腾', '服务器']",4.0,6.0,1.0,5.0,3,5,4,大专,其他,"['交通补助', '带薪年假', '全勤奖', '定期体检', '五险一金', '通讯补贴', '年终奖', '节日福利', '加班补助', '补充医疗保险']","['IDC机房运维', '实施交付运维', 'Python/Shell', '计算机相关专业', '运维经验', 'LINUX', 'pytorch', 'python', '昇腾', '服务器']",10,10,0,1,0
AI药物研发部高级科学家（AIDD方向）,20-40K·13薪,长沙,,,经验不限,博士,"['住房补贴', '高温补贴', '定期体检', '团建聚餐', '带薪年假', '节日福利', '五险一金']",['AIDD'],20.0,40.0,1.0833333333333333,32.5,0,0,7,博士,AI/算法工程师,"['住房补贴', '高温补贴', '定期体检', '团建聚餐', '带薪年假', '节日福利', '五险一金']",['AIDD'],7,1,1,0,0
python开发,12-17K,长沙,芙蓉区,韭菜园,3-5年,大专,"['五险一金', '补充医疗保险', '节日福利', '交通补助', '定期体检', '零食下午茶', '生日福利', '免费班车', '团建活动', '加班补助', '通讯补贴', '带薪年假']","['Python', '智能体', 'Dify', '游戏AI', '机器人控制', '推荐系统']",12.0,17.0,1.0,14.5,3,5,4,大专,开发工程师,"['五险一金', '补充医疗保险', '节日福利', '交通补助', '定期体检', '零食下午茶', '生日福利', '免费班车', '团建活动', '加班补助', '通讯补贴', '带薪年假']","['Python', '智能体', 'Dify', '游戏AI', '机器人控制', '推荐系统']",12,6,0,1,0
php开发工程师,8-12K,长沙,芙蓉区,韭菜园,5-10年,本科,"['绩效奖金', '团建聚餐', '带薪年假', '零食下午茶', '员工旅游', '保底工资', '年终奖', '节日福利']",[],8.0,12.0,1.0,10.0,5,10,5,本科,开发工程师,"['绩效奖金', '团建聚餐', '带薪年假', '零食下午茶', '员工旅游', '保底工资', '年终奖', '节日福利']",[],8,0,0,0,0
ai 架构设计,20-21K,长沙,,,5-10年,本科,"['五险一金', '定期体检', '年终奖', '法定节假日三薪']","['LLM LangChain', 'LlamaIndex', '运营商 政务']",20.0,21.0,1.0,20.5,5,10,5,本科,AI/算法工程师,"['五险一金', '定期体检', '年终奖', '法定节假日三薪']","['LLM LangChain', 'LlamaIndex', '运营商 政务']",4,3,1,0,0
数据分析师,8-10K,长沙,芙蓉区,韭菜园,3-5年,本科,"['带薪年假', '五险一金', '交通补助', '零食下午茶', '节日福利', '年终奖']",[],8.0,10.0,1.0,9.0,3,5,5,本科,数据分析/工程师,"['带薪年假', '五险一金', '交通补助', '零食下午茶', '节日福利', '年终奖']",[],6,0,0,0,0
前、后端开发   带薪年假+14~16薪+全额社保,20-40K·14薪,长沙,芙蓉区,韭菜园,经验不限,本科,[],"['Java', 'C++', '不接受居家办公', '分布式经验', 'SpringCloud', 'SQL Server', 'Spring', '微服务经验', 'MySQL', 'MyBatis', '云计算经验', 'Oracle', 'Python']",20.0,40.0,1.1666666666666667,35.0,0,0,5,本科,开发工程师,[],"['Java', 'C++', '不接受居家办公', '分布式经验', 'SpringCloud', 'SQL Server', 'Spring', '微服务经验', 'MySQL', 'MyBatis', '云计算经验', 'Oracle', 'Python']",0,13,0,1,0
少儿编程老师+双休,7-10K,长沙,,,1-3年,大专,"['带薪年假', '节日福利', '五险一金', '免费工装', '员工旅游', '团建聚餐', '交通补助', '零食下午茶', '企业年金', '绩效奖金', '生日福利', '底薪加提成']",[],7.0,10.0,1.0,8.5,1,3,4,大专,教育培训,"['带薪年假', '节日福利', '五险一金', '免费工装', '员工旅游', '团建聚餐', '交通补助', '零食下午茶', '企业年金', '绩效奖金', '生日福利', '底薪加提成']",[],12,0,0,0,0
